movieTitle,movieQualityProfileId
Psycho (1960),1080p
Public Enemies (2009),1080p
Pulp Fiction (1994),1080p
Raging Bull (1980),1080p
Raiders of the Lost Ark (1981),1080p
Rain Man (1988),1080p
Rambo: First Blood (1982),1080p
Ratatouille (2007),1080p
Rear Window (1954),1080p
Red River (1948),1080p
Redline (2009),1080p
Remember the Titans (2000),1080p
Repulsion (1965),1080p
Reservoir Dogs (1992),1080p
Rio Bravo (1959),1080p
Road House (1989),1080p
Road to Perdition (2002),1080p
Robin Hood (1973),1080p
RoboCop (1987),1080p
Rocky (1976),1080p
Rocky II (1979),1080p
Rocky IV (1985),1080p
Roger & Me (1989),1080p
Romancing the Stone (1984),1080p
Romeo and Juliet (1968),1080p
Rosemary's Baby (1968),1080p
Rudolph the Red-Nosed Reindeer (1964),1080p
Rudy (1993),1080p
Rushmore (1998),1080p
Sahara (1983),1080p
Sahara (2005),1080p
Sands of Iwo Jima (1949),1080p
Santa Baby (2006),1080p
Saving Private Ryan (1998),1080p
Scarface (1983),1080p
Scent of a Woman (1992),1080p
Schindler's List (1993),1080p
Scream (1996),1080p
Scrooged (1988),1080p
Se7en (1995),1080p
Seabiscuit (2003),1080p
Serenity (2005),1080p
Seven (1995),1080p
Seven Years in Tibet (1997),1080p
Shane (1953),1080p
Shaun of the Dead (2004),1080p
She Wore a Yellow Ribbon (1949),1080p
Shrek (2001),1080p
Sinbad: Legend of the Seven Seas (2003),1080p
Singin' in the Rain (1952),1080p
Sita Sings the Blues (2008),1080p
Sleeping Beauty (1959),1080p
Sleepless in Seattle (1993),1080p
Snow White and the Seven Dwarfs (1937),1080p
Snowglobe (2007),1080p
Solaris (1972),1080p
Solaris (2002),1080p
Soldier (1998),1080p
Son in Law (1993),1080p
Soul Food (1997),1080p
Soylent Green (1973),1080p
Speed (1994),1080p
Spellbound (2002),1080p
Spy Kids (2001),1080p
Stagecoach (1939),1080p
Stalingrad (1993),1080p
Star Trek: The Motion Picture (1979),1080p
Star Wars: Episode IV - A New Hope (1977),1080p
Stardust (2007),1080p
Stargate (1994),1080p
Starman (1984),1080p
Stealth (2005),1080p
Steel (1997),1080p
Streetwise (1984),1080p
Stuart Little (1999),1080p
Sunshine (2007),1080p
Sunshine Cleaning (2008),1080p
Superbad (2007),1080p
Supergirl (1984),1080p
Superman II (1980),1080p
Superman III (1983),1080p
Superman IV: The Quest for Peace (1987),1080p
Superman Returns (2006),1080p
Superman: The Movie (1978),1080p
Supersize Me (2004),1080p
Surviving Christmas (2004),1080p
Suspiria (1977),1080p
Swamp Thing (1982),1080p
Sweet November (2001),1080p
Swiss Family Robinson (1960),1080p
Tadpole (2002),1080p
Taken (2008),1080p
Talladega Nights: The Ballad of Ricky Bobby (2006),1080p
Tarzan (1999),1080p
Taxi Driver (1976),1080p
Team America: World Police (2004),1080p
Terminator 2: Judgment Day (1991),1080p
The 10th Kingdom (2000),1080p
The 13th Warrior (1999),1080p
The 39 Steps (1935),1080p
The 40-Year-Old Virgin (2005),1080p
The 400 Blows (1959),1080p
The Abominable Dr. Phibes (1971),1080p
The Abyss (1989),1080p
The Adventures of Baron Munchausen (1988),1080p
The Adventures of Pluto Nash (2002),1080p
The Adventures of Robin Hood (1938),1080p
The Adventures of Tom Sawyer (1938),1080p
The African Queen (1951),1080p
The Alamo (1960),1080p
The Alamo (2004),1080p
The Andromeda Strain (1971),1080p
The Apartment (1960),1080p
The Aristocats (1970),1080p
The Art of War (2000),1080p
The Assassination of Jesse James by the Coward Robert Ford (2007),1080p
The Astronaut's Wife (1999),1080p
The Avengers (1998),1080p
The Aviator (2004),1080p
The Bad News Bears (1976),1080p
The Battle of Algiers (1966),1080p
The Bicycle Thief (1948),1080p
The Big Bus (1976),1080p
The Big Lebowski (1998),1080p
The Big Red One (1980),1080p
The Big Sleep (1946),1080p
The Birds (1963),1080p
The Bishop’s Wife (1947),1080p
The Black Cauldron (1985),1080p
The Black Stallion (1979),1080p
The Blair Witch Project (1999),1080p
The Blind Side (2009),1080p
The Blob (1958),1080p
The Blues Brothers (1980),1080p
The Bonfire of the Vanities (1990),1080p
The Boondock Saints (1999),1080p
The Bourne Identity (2002),1080p
The Bride of Frankenstein (1935),1080p
The Bridge on the River Kwai (1957),1080p
The Bridge to Terabithia (2007),1080p
The Bridges of Madison County (1995),1080p
The Butterfly Effect (2004),1080p
The Cabinet of Dr. Caligari (1920),1080p
The Cat Returns (2002),1080p
The Changeling (1980),1080p
The Christmas Blessing (2005),1080p
The Chronicles of Narnia: Prince Caspian (2008),1080p
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe (2005)",1080p
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",1080p
The Chronicles of Riddick (2004),1080p
The Color Purple (1985),1080p
The Conversation (1974),1080p
The Core (2003),1080p
The Cove (2009),1080p
The Curious Case of Benjamin Button (2008),1080p
The Curse of Frankenstein (1957),1080p
The Cutting Edge (1992),1080p
The Da Vinci Code (2006),1080p
The Dark Crystal (1982),1080p
The Dark Knight (2008),1080p
The Dark is Rising (2007),1080p
The Day After Tomorrow (2004),1080p
The Day the Earth Stood Still (1951),1080p
The Day the Earth Stood Still (2008),1080p
The Deer Hunter (1978),1080p
The Departed (2006),1080p
The Descent (2005),1080p
The Devil's Backbone (2001),1080p
The Dirty Dozen (1967),1080p
The Divorce (2003),1080p
The Duchess (2008),1080p
The Edge (1997),1080p
The Elephant Man (1980),1080p
The Emperor's New Groove (2000),1080p
The Empire Strikes Back (1980),1080p
The Endless Summer (1966),1080p
The English Patient (1996),1080p
The Evil Dead (1981),1080p
The Exorcist (1973),1080p
The Fall of the Roman Empire (1964),1080p
The Family Man (2000),1080p
The Family Stone (2005),1080p
The Fifth Element (1997),1080p
The Flash (1990),1080p
The Fly (1986),1080p
The Fog of War (2003),1080p
The Fountain (2006),1080p
The Fox and the Hound (1981),1080p
The French Connection (1971),1080p
The Fugitive (1993),1080p
The Game (1997),1080p
The Girl with the Dragon Tattoo (2009),1080p
The Gleaners and I (2000),1080p
